Category	despansing unit 	Product Name	Generic / Active Ingredient
Antibiotics & Antimicrobials	bottle	AMOKLAVIN BID 457MG/5ML SUP	amoxicillin+clavulanic acid
Antibiotics & Antimicrobials	pk	Amox-Clav 625 (Novamentin)	amoxicillin+clavulanic acid
Antibiotics & Antimicrobials	bottle	amoxicillin clavulanic acid156mg/5ml suspn 100ml	amoxicillin+clavulanic acid
Antibiotics & Antimicrobials	bottle	amoxicillin clavulanic acid/457mg/5ml 70ml suspn	amoxicillin+clavulanic acid
Antibiotics & Antimicrobials	bottle	amoxicillin+clavulanic acid 312.5mg/5ml	amoxicillin+clavulanic acid
Antibiotics & Antimicrobials	pk	amoxicillin+clavulanic acid / 1G Of 14	amoxicillin+clavulanic acid
Antibiotics & Antimicrobials	pk	MOXICLAV 625 TABLETS	amoxicillin+clavulanic acid
Antibiotics & Antimicrobials	bottle	amoxicillinclavulanicacid156.25mg/5ml 100ml suspn	amoxicillin+clavulanic acid
Antibiotics & Antimicrobials	bottle	AUGMENTIN 125MG/5ML suspn	amoxicillin 125mg/5ml suspn
Antibiotics & Antimicrobials	bottle	LARGOPEN 125MG 5ML SUS 100ML	AMOXACILLIN 125MG/5ML SUS 100ML
Antibiotics & Antimicrobials	bottle	LARGOPEN 250MG	AMOXACILLIN 250MG/5ML SUS
Antibiotics & Antimicrobials	strip	AMOXICILLIN 250MG/5ml suspn	AMOXACILLIN 250MG/5ml suspn
Antibiotics & Antimicrobials	strip	AMOXICILLIN 500MG-CAP	AMOXACILLIN 500MG-CAP
Antibiotics & Antimicrobials	bottle	amoxicillin 125mg/5ml suspn	amoxicillin 125mg/5ml suspn
Antibiotics & Antimicrobials	bottle	Amoxicillin 500mg/5ml suspn	Amoxicillin 500mg/5ml
Antibiotics & Antimicrobials	strip	Amoxicillin 500mg Caps	Amoxicillin 500mg Caps
Antibiotics & Antimicrobials	pk	rivamox 500mg of Tab	Amoxicillin
Antibiotics & Antimicrobials	bottle	AMOXICILLIN 250MG/5ML SUSP	AMOXACILLIN 250MG/5ML SUSP
Antibiotics & Antimicrobials	strip	Ampoxen 500mg	Amoxicillin 500mg
Antibiotics & Antimicrobials	strip	Amoxicillin/Clavulanic acid 125/5ml	Amoxicillin/Clavulanic acid 125/5ml suspn
